id,listingType,url,price,tagClassName,tagText,date,street,suburb,state,postcode,lat,lng,beds,baths,parking,propertyType,propertyTypeFormatted,isRural,landSize,landUnit,isRetirement
2011357961,listing,/4-james-street-georgetown-sa-5472-2011357961,119000,is-sold,Sold by private treaty 01 Nov 2021,20211101,4 James Street,GEORGETOWN,SA,5472,-33.3616371,138.392059,3,1,5,House,House,False,2020,m2,False
2012253696,listing,/41-fisher-street-georgetown-sa-5472-2012253696,Price Withheld,is-sold,Sold by private treaty 03 Mar 2016,20160303,41 Fisher Street,GEORGETOWN,SA,5472,-33.35866,138.3926,3,1,2,House,House,False,0,m2,False
2012356418,listing,/50-fisher-street-georgetown-sa-5472-2012356418,Price Withheld,is-sold,Sold by private treaty 11 Dec 2015,20151211,50 Fisher Street,GEORGETOWN,SA,5472,-33.3618431,138.393051,1,1,-,House,House,False,1900,m2,False
2013127656,listing,/19-fisher-street-georgetown-sa-5472-2013127656,Price Withheld,is-sold,Sold by private treaty 23 Jun 2017,20170623,19 Fisher Street,GEORGETOWN,SA,5472,-33.3615379,138.393967,1,2,-,House,House,False,1000,m2,False
2013636432,listing,/lot-100-fisher-street-georgetown-sa-5472-2013636432,Price Withheld,is-sold,Sold by private treaty 26 Nov 2019,20191126,Lot 100 Fisher Street,GEORGETOWN,SA,5472,-33.3613,138.393448,4,2,2,House,House,False,1420,m2,False
2014463721,listing,/lot-50-fisher-street-georgetown-sa-5472-2014463721,130000,is-sold,Sold by private treaty 13 Apr 2019,20190413,Lot 50 Fisher Street,GEORGETOWN,SA,5472,-33.3613,138.393448,3,1,2,House,House,False,1890,m2,False
2014463773,listing,/79-brogan-road-georgetown-sa-5472-2014463773,100000,is-sold,Sold by private treaty 30 May 2019,20190530,79 Brogan Road,GEORGETOWN,SA,5472,-33.36688,138.3891,-,-,-,Rural,Rural,True,8.5,ha,False
2014463845,listing,/2-james-street-georgetown-sa-5472-2014463845,70000,is-sold,Sold by private treaty 17 Aug 2018,20180817,2 James Street,GEORGETOWN,SA,5472,-33.3613853,138.392258,3,1,3,House,House,False,2000,m2,False
2014543207,listing,/91-96-pitts-street-georgetown-sa-5472-2014543207,18500,is-sold,Sold by private treaty 07 Feb 2019,20190207,91-96 Pitts Street,GEORGETOWN,SA,5472,-33.3598251,138.391769,-,-,-,VacantLand,Vacant land,False,5785,m2,False
2014605721,listing,/3-west-terrace-georgetown-sa-5472-2014605721,18000,is-sold,Sold by private treaty 21 Jun 2019,20190621,3 West Terrace,GEORGETOWN,SA,5472,-33.36233,138.3904,-,-,-,VacantLand,Vacant land,False,4492,m2,False
2014626187,listing,/11-fisher-st-georgetown-sa-5472-2014626187,Price Withheld,is-sold,Sold by private treaty 23 Nov 2018,20181123,11 Fisher St,GEORGETOWN,SA,5472,-33.3625221,138.39444,3,1,-,House,House,False,1875,m2,False
2014628771,listing,/-willow-ponds-georgetown-huddleston-road-georgetown-sa-5472-2014628771,Price Withheld,is-sold,Sold by private treaty 30 Nov 2018,20181130,"""Willow Ponds"" Georgetown-Huddleston Road",GEORGETOWN,SA,5472,-33.3358078,138.346008,-,-,-,Rural,Rural,True,925.3,ha,False
2014711888,listing,/10-fisher-st-georgetown-sa-5472-2014711888,85000,is-sold,Sold by private treaty 15 Oct 2021,20211015,10 Fisher St,GEORGETOWN,SA,5472,-33.3627777,138.393524,-,-,-,VacantLand,Vacant land,False,2100,m2,False
2015123030,listing,/3-hurtle-st-georgetown-sa-5472-2015123030,Price Withheld,is-sold,Sold by private treaty 10 May 2019,20190510,3 Hurtle St,GEORGETOWN,SA,5472,-33.36452,138.3932,-,-,-,VacantLand,Vacant land,False,4000,m2,False
2017175007,listing,/41-school-road-georgetown-sa-5472-2017175007,Price Withheld,is-sold,Sold by private treaty 01 Oct 2021,20211001,41 School Road,GEORGETOWN,SA,5472,-33.3628,138.386063,6,1,6,House,House,True,4.05,ha,False
2017479657,listing,/121-lyons-rd-georgetown-sa-5472-2017479657,270000,is-sold,Sold by private treaty 11 Feb 2022,20220211,121 Lyons Rd,GEORGETOWN,SA,5472,-33.3909,138.414963,4,2,4,House,House,True,3.44,ha,False
2017614222,listing,/71-west-tce-georgetown-sa-5472-2017614222,Price Withheld,is-sold,Sold by private treaty 21 Jun 2022,20220621,71 West Tce,GEORGETOWN,SA,5472,-33.36233,138.3904,3,2,3,House,House,False,4053,m2,False
2017903898,listing,/17-fisher-st-georgetown-sa-5472-2017903898,200000,is-sold,Sold by private treaty 01 Dec 2022,20221201,17 Fisher St,GEORGETOWN,SA,5472,-33.3617363,138.394058,4,1,2,House,House,False,1866,m2,False
2017951001,listing,/-garawang-lehmann-road-georgetown-sa-5472-2017951001,Price Withheld,is-sold,Sold by private treaty 28 Oct 2022,20221028,'Garawang' Lehmann Road,GEORGETOWN,SA,5472,-33.35738,138.450928,-,-,-,Farm,Farm,True,791.6,ha,False
2018124953,listing,/123-brogan-rd-georgetown-sa-5472-2018124953,131000,is-sold,Sold by private treaty 18 Jan 2023,20230118,123 Brogan Rd,GEORGETOWN,SA,5472,-33.3631248,138.387192,3,1,-,House,House,False,1156,m2,False
